row_id,lexeme_id,concept_id,sense_id,variant_group_id,surface_form,canonical_concept,swahili_gloss,english_gloss,category,sheng_text,swahili_text,english_text,code_switch_level,review_class,source_name,source_type,generation_method,permission_basis,training_use_allowed,commercial_use_allowed,review_status,confidence,native_rating_1_to_5,theology_rating_1_to_5,native_correction_sheng,native_correction_swahili,native_correction_english,reviewer_notes,approved
T024835,L00029,C0016,S00029,V0011,mdhama,mother,mama,mother / mum,family,maze Rita ametumia 'mdhama' kwa story ya campo leo.,Rita ametumia 'mdhama' kumaanisha mama katika mazungumzo ya chuoni leo.,Rita used 'mdhama' to mean mother  in a conversation at campus today.,medium,native,Sheng AI synthetic corpus v2,synthetic,controlled_context_augmentation,original_synthetic_sentence,yes_after_required_review,yes_after_required_review,synthetic_needs_native_review,0.50,,,,,,,
T016958,L00151,C0084,S00151,V0063,mao,mathematics,hisabati,mathematics,education,maze Hassan ametumia 'mao' kwa story ya keja leo.,Hassan ametumia 'mao' kumaanisha hisabati katika mazungumzo ya nyumbani leo.,Hassan used 'mao' to mean mathematics in a conversation at home today.,high,native,Sheng AI synthetic corpus v2,synthetic,controlled_context_augmentation,original_synthetic_sentence,yes_after_required_review,yes_after_required_review,synthetic_needs_native_review,0.50,,,,,,,
T059310,L00200,C0109,S00200,V0088,redeem,redeem,komboa,redeem,religion,maze Faith alisema 'redeem' kwa convo ya faith leo pale stage.,Faith alitumia 'redeem' kumaanisha komboa katika mazungumzo ya imani leo pale stendi.,Faith used 'redeem' to mean redeem in a faith conversation today at the stage.,high,native_and_theological,Sheng AI synthetic corpus v2,synthetic,controlled_context_augmentation,original_synthetic_sentence,yes_after_required_review,yes_after_required_review,synthetic_needs_native_and_theological_review,0.50,,,,,,,
T039256,L00009,C0008,S00009,V0005,rada,plan/situation,mpango/hali,plan / situation,conversation,maze Ruth ametumia 'rada' kwa story ya church leo.,Ruth ametumia 'rada' kumaanisha mpango katika mazungumzo ya kanisani leo.,Ruth used 'rada' to mean plan  in a conversation at church today.,light,native,Sheng AI synthetic corpus v2,synthetic,controlled_context_augmentation,original_synthetic_sentence,yes_after_required_review,yes_after_required_review,synthetic_needs_native_review,0.50,,,,,,,
T020175,L00147,C0007,S00147,V0004,mchoro,plan,mpango,plan / scheme,conversation,maze Mercy ametumia 'mchoro' kwa story ya keja leo.,Mercy ametumia 'mchoro' kumaanisha mpango katika mazungumzo ya nyumbani leo.,Mercy used 'mchoro' to mean plan  in a conversation at home today.,high,native,Sheng AI synthetic corpus v2,synthetic,controlled_context_augmentation,original_synthetic_sentence,yes_after_required_review,yes_after_required_review,synthetic_needs_native_review,0.50,,,,,,,
T045591,L00063,C0037,S00063,V0025,mkwanja,money,pesa,money / cash,money,maze James ametumia 'mkwanja' kwa story ya base leo.,James ametumia 'mkwanja' kumaanisha pesa katika mazungumzo ya mahali leo.,James used 'mkwanja' to mean money  in a conversation at the spot today.,low,native,Sheng AI synthetic corpus v2,synthetic,controlled_context_augmentation,original_synthetic_sentence,yes_after_required_review,yes_after_required_review,synthetic_needs_native_review,0.50,,,,,,,
T059305,L00195,C0107,S00195,V0086,okoa,save,okoa,save,religion,maze Faith alisema 'okoa' kwa convo ya faith leo pale stage.,Faith alitumia 'okoa' kumaanisha okoa katika mazungumzo ya imani leo pale stendi.,Faith used 'okoa' to mean save in a faith conversation today at the stage.,high,native_and_theological,Sheng AI synthetic corpus v2,synthetic,controlled_context_augmentation,original_synthetic_sentence,yes_after_required_review,yes_after_required_review,synthetic_needs_native_and_theological_review,0.50,,,,,,,
T099978,L00068,C0040,S00068,V0027,mbao,wood/plank,mbao,wood / plank,objects,maze Esther ametumia 'mbao' kwa story ya Naks leo.,Esther ametumia 'mbao' kumaanisha mbao katika mazungumzo ya Nakuru leo.,Esther used 'mbao' to mean wood  in a conversation at Nakuru today.,high,native,Sheng AI synthetic corpus v2,synthetic,controlled_context_augmentation,original_synthetic_sentence,yes_after_required_review,yes_after_required_review,synthetic_needs_native_review,0.50,,,,,,,
T081321,L00093,C0047,S00093,V0035,deree,driver,dereva,driver,transport,maze Mercy ametumia 'deree' kwa story ya Ngara leo.,Mercy ametumia 'deree' kumaanisha dereva katika mazungumzo ya Ngara leo.,Mercy used 'deree' to mean driver in a conversation at Ngara today.,high,native,Sheng AI synthetic corpus v2,synthetic,controlled_context_augmentation,original_synthetic_sentence,yes_after_required_review,yes_after_required_review,synthetic_needs_native_review,0.50,,,,,,,
T066960,L00012,C0011,S00012,V0006,base,home/base,nyumbani,home / base,places,maze Naliaka ametumia 'base' kwa story ya Kasarani leo.,Naliaka ametumia 'base' kumaanisha nyumbani katika mazungumzo ya Kasarani leo.,Naliaka used 'base' to mean home  in a conversation at Kasarani today.,light,native,Sheng AI synthetic corpus v2,synthetic,controlled_context_augmentation,original_synthetic_sentence,yes_after_required_review,yes_after_required_review,synthetic_needs_native_review,0.50,,,,,,,
T010839,L00152,C0038,S00152,V0064,zii,no,hapana,no,conversation,maze Hassan ametumia 'zii' kwa story ya mtaa leo.,Hassan ametumia 'zii' kumaanisha hapana katika mazungumzo ya mtaani leo.,Hassan used 'zii' to mean no in a conversation at the neighborhood today.,light,native,Sheng AI synthetic corpus v2,synthetic,controlled_context_augmentation,original_synthetic_sentence,yes_after_required_review,yes_after_required_review,synthetic_needs_native_review,0.50,,,,,,,
T053908,L00059,C0036,S00059,V0024,kazoo,cousin,binamu,cousin,family,maze Jemo ametumia 'kazoo' kwa story ya CBD leo.,Jemo ametumia 'kazoo' kumaanisha binamu katika mazungumzo ya CBD leo.,Jemo used 'kazoo' to mean cousin in a conversation at the CBD today.,light,native,Sheng AI synthetic corpus v2,synthetic,controlled_context_augmentation,original_synthetic_sentence,yes_after_required_review,yes_after_required_review,synthetic_needs_native_review,0.50,,,,,,,
T063122,L00093,C0047,S00093,V0035,deree,driver,dereva,driver,transport,maze Noel ametumia 'deree' kwa story ya stage leo.,Noel ametumia 'deree' kumaanisha dereva katika mazungumzo ya stendi leo.,Noel used 'deree' to mean driver in a conversation at the stage today.,medium,native,Sheng AI synthetic corpus v2,synthetic,controlled_context_augmentation,original_synthetic_sentence,yes_after_required_review,yes_after_required_review,synthetic_needs_native_review,0.50,,,,,,,
T005449,L00293,C0154,S00293,V0133,repentance,repentance,toba,repentance,religion,Rita anauliza maana ya 'repentance' kwa Bible study ya leo.,Rita anauliza maana ya 'repentance' katika somo la Biblia la leo.,Rita is asking what 'repentance' means in the Bible study today.,low,native_and_theological,Sheng AI synthetic corpus v2,synthetic,controlled_context_augmentation,original_synthetic_sentence,yes_after_required_review,yes_after_required_review,synthetic_needs_native_and_theological_review,0.50,,,,,,,
T037970,L00280,C0148,S00280,V0127,fufuka,rise again,fufuka,rise again,religion,maze Yusuf alisema 'fufuka' kwa convo ya faith leo pale church.,Yusuf alitumia 'fufuka' kumaanisha fufuka katika mazungumzo ya imani leo pale kanisani.,Yusuf used 'fufuka' to mean rise again in a faith conversation today at church.,medium,native_and_theological,Sheng AI synthetic corpus v2,synthetic,controlled_context_augmentation,original_synthetic_sentence,yes_after_required_review,yes_after_required_review,synthetic_needs_native_and_theological_review,0.50,,,,,,,
T011389,L00219,C0119,S00219,V0098,injili,gospel,injili,gospel,religion,maze Kendi alisema 'injili' kwa convo ya faith leo pale mtaa.,Kendi alitumia 'injili' kumaanisha injili katika mazungumzo ya imani leo pale mtaani.,Kendi used 'injili' to mean gospel in a faith conversation today at the neighborhood.,low,native_and_theological,Sheng AI synthetic corpus v2,synthetic,controlled_context_augmentation,original_synthetic_sentence,yes_after_required_review,yes_after_required_review,synthetic_needs_native_and_theological_review,0.50,,,,,,,
T098115,L00245,C0131,S00245,V0110,nabii,prophet,nabii,prophet,religion,maze Pato alisema 'nabii' kwa convo ya faith leo pale Naks.,Pato alitumia 'nabii' kumaanisha nabii katika mazungumzo ya imani leo pale Nakuru.,Pato used 'nabii' to mean prophet in a faith conversation today at Nakuru.,light,native_and_theological,Sheng AI synthetic corpus v2,synthetic,controlled_context_augmentation,original_synthetic_sentence,yes_after_required_review,yes_after_required_review,synthetic_needs_native_and_theological_review,0.50,,,,,,,
T003041,L00248,C0132,S00248,V0111,disciple,disciple,mwanafunzi,disciple,religion,Ian anataka Sheng ya concept 'disciple' na ametumia 'disciple' kama candidate.,Ian anataka namna ya Sheng kwa dhana 'mwanafunzi' na ametumia 'disciple' kama pendekezo.,Ian wants a Sheng rendering for 'disciple' and used 'disciple' as a candidate.,low,native_and_theological,Sheng AI synthetic corpus v2,synthetic,controlled_context_augmentation,original_synthetic_sentence,yes_after_required_review,yes_after_required_review,synthetic_needs_native_and_theological_review,0.50,,,,,,,
T014108,L00039,C0019,S00039,V0013,buda,father/older man,baba/mzee,father / older man,family,maze Noel ametumia 'buda' kwa story ya mtaa leo.,Noel ametumia 'buda' kumaanisha baba katika mazungumzo ya mtaani leo.,Noel used 'buda' to mean father  in a conversation at the neighborhood today.,medium,native,Sheng AI synthetic corpus v2,synthetic,controlled_context_augmentation,original_synthetic_sentence,yes_after_required_review,yes_after_required_review,synthetic_needs_native_review,0.50,,,,,,,
T069556,L00246,C0131,S00246,V0110,prophet,prophet,nabii,prophet,religion,maze Esther alisema 'prophet' kwa convo ya faith leo pale Kasarani.,Esther alitumia 'prophet' kumaanisha nabii katika mazungumzo ya imani leo pale Kasarani.,Esther used 'prophet' to mean prophet in a faith conversation today at Kasarani.,light,native_and_theological,Sheng AI synthetic corpus v2,synthetic,controlled_context_augmentation,original_synthetic_sentence,yes_after_required_review,yes_after_required_review,synthetic_needs_native_and_theological_review,0.50,,,,,,,
T013237,L00027,C0016,S00027,V0011,mthama,mother,mama,mother / mum,family,maze Yusuf ametumia 'mthama' kwa story ya mtaa leo.,Yusuf ametumia 'mthama' kumaanisha mama katika mazungumzo ya mtaani leo.,Yusuf used 'mthama' to mean mother  in a conversation at the neighborhood today.,medium,native,Sheng AI synthetic corpus v2,synthetic,controlled_context_augmentation,original_synthetic_sentence,yes_after_required_review,yes_after_required_review,synthetic_needs_native_review,0.50,,,,,,,
T062511,L00341,C0178,S00341,V0157,toa,offer,toa,offer,religion,maze Yusuf alisema 'toa' kwa convo ya faith leo pale stage.,Yusuf alitumia 'toa' kumaanisha toa katika mazungumzo ya imani leo pale stendi.,Yusuf used 'toa' to mean offer in a faith conversation today at the stage.,medium,native_and_theological,Sheng AI synthetic corpus v2,synthetic,controlled_context_augmentation,original_synthetic_sentence,yes_after_required_review,yes_after_required_review,synthetic_needs_native_and_theological_review,0.50,,,,,,,
T084960,L00350,C0182,S00350,V0161,temple,temple,hekalu,temple,religion,maze Kendi alisema 'temple' kwa convo ya faith leo pale Ronga.,Kendi alitumia 'temple' kumaanisha hekalu katika mazungumzo ya imani leo pale Rongai.,Kendi used 'temple' to mean temple in a faith conversation today at Rongai.,low,native_and_theological,Sheng AI synthetic corpus v2,synthetic,controlled_context_augmentation,original_synthetic_sentence,yes_after_required_review,yes_after_required_review,synthetic_needs_native_and_theological_review,0.50,,,,,,,
T024145,L00037,C0018,S00037,V0012,mzing,father,baba,father / dad,family,maze Naliaka ametumia 'mzing' kwa story ya campo leo.,Naliaka ametumia 'mzing' kumaanisha baba katika mazungumzo ya chuoni leo.,Naliaka used 'mzing' to mean father  in a conversation at campus today.,high,native,Sheng AI synthetic corpus v2,synthetic,controlled_context_augmentation,original_synthetic_sentence,yes_after_required_review,yes_after_required_review,synthetic_needs_native_review,0.50,,,,,,,
T020691,L00341,C0178,S00341,V0157,toa,offer,toa,offer,religion,maze Esther alisema 'toa' kwa convo ya faith leo pale keja.,Esther alitumia 'toa' kumaanisha toa katika mazungumzo ya imani leo pale nyumbani.,Esther used 'toa' to mean offer in a faith conversation today at home.,light,native_and_theological,Sheng AI synthetic corpus v2,synthetic,controlled_context_augmentation,original_synthetic_sentence,yes_after_required_review,yes_after_required_review,synthetic_needs_native_and_theological_review,0.50,,,,,,,
T052323,L00353,C0184,S00353,V0163,gharika,flood,gharika,flood,religion,maze Amani alisema 'gharika' kwa convo ya faith leo pale CBD.,Amani alitumia 'gharika' kumaanisha gharika katika mazungumzo ya imani leo pale CBD.,Amani used 'gharika' to mean flood in a faith conversation today at the CBD.,low,native_and_theological,Sheng AI synthetic corpus v2,synthetic,controlled_context_augmentation,original_synthetic_sentence,yes_after_required_review,yes_after_required_review,synthetic_needs_native_and_theological_review,0.50,,,,,,,
T076934,L00108,C0057,S00108,V0041,primo,primary school,shule ya msingi,primary school,education,maze Brian ametumia 'primo' kwa story ya Ngara leo.,Brian ametumia 'primo' kumaanisha shule ya msingi katika mazungumzo ya Ngara leo.,Brian used 'primo' to mean primary school in a conversation at Ngara today.,light,native,Sheng AI synthetic corpus v2,synthetic,controlled_context_augmentation,original_synthetic_sentence,yes_after_required_review,yes_after_required_review,synthetic_needs_native_review,0.50,,,,,,,
T013307,L00097,C0049,S00097,V0036,moti,car/vehicle,gari,car / vehicle,transport,maze Yusuf ametumia 'moti' kwa story ya mtaa leo.,Yusuf ametumia 'moti' kumaanisha gari katika mazungumzo ya mtaani leo.,Yusuf used 'moti' to mean car  in a conversation at the neighborhood today.,medium,native,Sheng AI synthetic corpus v2,synthetic,controlled_context_augmentation,original_synthetic_sentence,yes_after_required_review,yes_after_required_review,synthetic_needs_native_review,0.50,,,,,,,
T088449,L00081,C0044,S00081,V0032,das,ten shillings,shilingi kumi,10 Kenyan shillings,money,maze James ametumia 'das' kwa story ya Ronga leo.,James ametumia 'das' kumaanisha shilingi kumi katika mazungumzo ya Rongai leo.,James used 'das' to mean 10 Kenyan shillings in a conversation at Rongai today.,medium,native,Sheng AI synthetic corpus v2,synthetic,controlled_context_augmentation,original_synthetic_sentence,yes_after_required_review,yes_after_required_review,synthetic_needs_native_review,0.50,,,,,,,
T094163,L00373,C0194,S00373,V0173,Warumi,Romans,Warumi,Romans,religion,maze Esther alisema 'Warumi' kwa convo ya faith leo pale Thika.,Esther alitumia 'Warumi' kumaanisha Warumi katika mazungumzo ya imani leo pale Thika.,Esther used 'Warumi' to mean Romans in a faith conversation today at Thika.,light,native_and_theological,Sheng AI synthetic corpus v2,synthetic,controlled_context_augmentation,original_synthetic_sentence,yes_after_required_review,yes_after_required_review,synthetic_needs_native_and_theological_review,0.50,,,,,,,
T065407,L00177,C0098,S00177,V0077,maombi,prayer,sala/maombi,prayer,religion,maze Faith alisema 'maombi' kwa convo ya faith leo pale Kasarani.,Faith alitumia 'maombi' kumaanisha sala katika mazungumzo ya imani leo pale Kasarani.,Faith used 'maombi' to mean prayer in a faith conversation today at Kasarani.,light,native_and_theological,Sheng AI synthetic corpus v2,synthetic,controlled_context_augmentation,original_synthetic_sentence,yes_after_required_review,yes_after_required_review,synthetic_needs_native_and_theological_review,0.50,,,,,,,
T030471,L00082,C0045,S00082,V0033,mathree,matatu,matatu,matatu / public minibus,transport,maze Oti ametumia 'mathree' kwa story ya job leo.,Oti ametumia 'mathree' kumaanisha matatu katika mazungumzo ya kazini leo.,Oti used 'mathree' to mean matatu  in a conversation at work today.,medium,native,Sheng AI synthetic corpus v2,synthetic,controlled_context_augmentation,original_synthetic_sentence,yes_after_required_review,yes_after_required_review,synthetic_needs_native_review,0.50,,,,,,,
T097117,L00267,C0142,S00267,V0121,nuru,light,nuru,light,religion,maze Kendi alisema 'nuru' kwa convo ya faith leo pale Naks.,Kendi alitumia 'nuru' kumaanisha nuru katika mazungumzo ya imani leo pale Nakuru.,Kendi used 'nuru' to mean light in a faith conversation today at Nakuru.,low,native_and_theological,Sheng AI synthetic corpus v2,synthetic,controlled_context_augmentation,original_synthetic_sentence,yes_after_required_review,yes_after_required_review,synthetic_needs_native_and_theological_review,0.50,,,,,,,
T067160,L00051,C0031,S00051,V0019,beshte,close friend,rafiki wa karibu,close friend / bestie,social,maze Oti ametumia 'beshte' kwa story ya Kasarani leo.,Oti ametumia 'beshte' kumaanisha rafiki wa karibu katika mazungumzo ya Kasarani leo.,Oti used 'beshte' to mean close friend  in a conversation at Kasarani today.,medium,native,Sheng AI synthetic corpus v2,synthetic,controlled_context_augmentation,original_synthetic_sentence,yes_after_required_review,yes_after_required_review,synthetic_needs_native_review,0.50,,,,,,,
T056250,L00200,C0109,S00200,V0088,redeem,redeem,komboa,redeem,religion,maze Yusuf alisema 'redeem' kwa convo ya faith leo pale CBD.,Yusuf alitumia 'redeem' kumaanisha komboa katika mazungumzo ya imani leo pale CBD.,Yusuf used 'redeem' to mean redeem in a faith conversation today at the CBD.,low,native_and_theological,Sheng AI synthetic corpus v2,synthetic,controlled_context_augmentation,original_synthetic_sentence,yes_after_required_review,yes_after_required_review,synthetic_needs_native_and_theological_review,0.50,,,,,,,
T031732,L00162,C0092,S00162,V0071,Mungu,God,Mungu,God,religion,maze Yusuf alisema 'Mungu' kwa convo ya faith leo pale job.,Yusuf alitumia 'Mungu' kumaanisha Mungu katika mazungumzo ya imani leo pale kazini.,Yusuf used 'Mungu' to mean God in a faith conversation today at work.,low,native_and_theological,Sheng AI synthetic corpus v2,synthetic,controlled_context_augmentation,original_synthetic_sentence,yes_after_required_review,yes_after_required_review,synthetic_needs_native_and_theological_review,0.50,,,,,,,
T056341,L00291,C0153,S00291,V0132,repent,repent,tubu,repent,religion,maze Yusuf alisema 'repent' kwa convo ya faith leo pale CBD.,Yusuf alitumia 'repent' kumaanisha tubu katika mazungumzo ya imani leo pale CBD.,Yusuf used 'repent' to mean repent in a faith conversation today at the CBD.,low,native_and_theological,Sheng AI synthetic corpus v2,synthetic,controlled_context_augmentation,original_synthetic_sentence,yes_after_required_review,yes_after_required_review,synthetic_needs_native_and_theological_review,0.50,,,,,,,
T045151,L00321,C0168,S00321,V0147,mwenye haki,righteous,mwenye haki,righteous,religion,maze Esther alisema 'mwenye haki' kwa convo ya faith leo pale base.,Esther alitumia 'mwenye haki' kumaanisha mwenye haki katika mazungumzo ya imani leo pale mahali.,Esther used 'mwenye haki' to mean righteous in a faith conversation today at the spot.,light,native_and_theological,Sheng AI synthetic corpus v2,synthetic,controlled_context_augmentation,original_synthetic_sentence,yes_after_required_review,yes_after_required_review,synthetic_needs_native_and_theological_review,0.50,,,,,,,
T062315,L00145,C0083,S00145,V0062,rairai,cannabis/bhang,bangi,cannabis / bhang,substances,maze Yusuf ametumia 'rairai' kwa story ya stage leo.,Yusuf ametumia 'rairai' kumaanisha bangi katika mazungumzo ya stendi leo.,Yusuf used 'rairai' to mean cannabis  in a conversation at the stage today.,medium,native,Sheng AI synthetic corpus v2,synthetic,controlled_context_augmentation,original_synthetic_sentence,yes_after_required_review,yes_after_required_review,synthetic_needs_native_review,0.50,,,,,,,
T036988,L00318,C0166,S00318,V0145,hope,hope,tumaini,hope,religion,maze Pato alisema 'hope' kwa convo ya faith leo pale church.,Pato alitumia 'hope' kumaanisha tumaini katika mazungumzo ya imani leo pale kanisani.,Pato used 'hope' to mean hope in a faith conversation today at church.,light,native_and_theological,Sheng AI synthetic corpus v2,synthetic,controlled_context_augmentation,original_synthetic_sentence,yes_after_required_review,yes_after_required_review,synthetic_needs_native_and_theological_review,0.50,,,,,,,
T095052,L00242,C0129,S00242,V0108,Satan,Satan,Shetani,Satan,religion,maze Amani alisema 'Satan' kwa convo ya faith leo pale Naks.,Amani alitumia 'Satan' kumaanisha Shetani katika mazungumzo ya imani leo pale Nakuru.,Amani used 'Satan' to mean Satan in a faith conversation today at Nakuru.,medium,native_and_theological,Sheng AI synthetic corpus v2,synthetic,controlled_context_augmentation,original_synthetic_sentence,yes_after_required_review,yes_after_required_review,synthetic_needs_native_and_theological_review,0.50,,,,,,,
T083619,L00029,C0016,S00029,V0011,mdhama,mother,mama,mother / mum,family,maze Faith ametumia 'mdhama' kwa story ya Ronga leo.,Faith ametumia 'mdhama' kumaanisha mama katika mazungumzo ya Rongai leo.,Faith used 'mdhama' to mean mother  in a conversation at Rongai today.,high,native,Sheng AI synthetic corpus v2,synthetic,controlled_context_augmentation,original_synthetic_sentence,yes_after_required_review,yes_after_required_review,synthetic_needs_native_review,0.50,,,,,,,
T008755,L00162,C0092,S00162,V0071,Mungu,God,Mungu,God,religion,James anataka Sheng ya concept 'God' na ametumia 'Mungu' kama candidate.,James anataka namna ya Sheng kwa dhana 'Mungu' na ametumia 'Mungu' kama pendekezo.,James wants a Sheng rendering for 'God' and used 'Mungu' as a candidate.,low,native_and_theological,Sheng AI synthetic corpus v2,synthetic,controlled_context_augmentation,original_synthetic_sentence,yes_after_required_review,yes_after_required_review,synthetic_needs_native_and_theological_review,0.50,,,,,,,
T059400,L00290,C0153,S00290,V0132,tubu,repent,tubu,repent,religion,maze Faith alisema 'tubu' kwa convo ya faith leo pale stage.,Faith alitumia 'tubu' kumaanisha tubu katika mazungumzo ya imani leo pale stendi.,Faith used 'tubu' to mean repent in a faith conversation today at the stage.,high,native_and_theological,Sheng AI synthetic corpus v2,synthetic,controlled_context_augmentation,original_synthetic_sentence,yes_after_required_review,yes_after_required_review,synthetic_needs_native_and_theological_review,0.50,,,,,,,
T002051,L00171,C0095,S00171,V0074,creation,creation,uumbaji,creation,religion,maze Faith alisema 'creation' kwa convo ya faith leo pale tao.,Faith alitumia 'creation' kumaanisha uumbaji katika mazungumzo ya imani leo pale mjini.,Faith used 'creation' to mean creation in a faith conversation today at town.,light,native_and_theological,Sheng AI synthetic corpus v2,synthetic,controlled_context_augmentation,original_synthetic_sentence,yes_after_required_review,yes_after_required_review,synthetic_needs_native_and_theological_review,0.50,,,,,,,
T089677,L00128,C0074,S00128,V0053,kam,come,kuja,come,actions,maze Eli ametumia 'kam' kwa story ya Thika leo.,Eli ametumia 'kam' kumaanisha kuja katika mazungumzo ya Thika leo.,Eli used 'kam' to mean come in a conversation at Thika today.,low,native,Sheng AI synthetic corpus v2,synthetic,controlled_context_augmentation,original_synthetic_sentence,yes_after_required_review,yes_after_required_review,synthetic_needs_native_review,0.50,,,,,,,
T047162,L00292,C0154,S00292,V0133,toba,repentance,toba,repentance,religion,maze Faith alisema 'toba' kwa convo ya faith leo pale estate.,Faith alitumia 'toba' kumaanisha toba katika mazungumzo ya imani leo pale estate.,Faith used 'toba' to mean repentance in a faith conversation today at the estate.,high,native_and_theological,Sheng AI synthetic corpus v2,synthetic,controlled_context_augmentation,original_synthetic_sentence,yes_after_required_review,yes_after_required_review,synthetic_needs_native_and_theological_review,0.50,,,,,,,
