lexeme_id,concept_id,sense_id,variant_group_id,surface_form,canonical_concept,swahili_gloss,english_gloss,category,region,register,source_name,source_type,permission_basis,training_use_allowed,commercial_use_allowed,review_status,confidence,notes
L00192,C0105,S00192,V0084,forgive,forgive,samehe,forgive,religion,Kenya,religious / conversational / code-switched,Sheng AI Bible terminology candidate set,project_curated_candidate,original_terminology_annotation,yes_after_native_and_theological_review,yes_after_native_and_theological_review,needs_native_and_theological_review,0.55,
L00193,C0106,S00193,V0085,msamaha,forgiveness,msamaha,forgiveness,religion,Kenya,religious / conversational / code-switched,Sheng AI Bible terminology candidate set,project_curated_candidate,original_terminology_annotation,yes_after_native_and_theological_review,yes_after_native_and_theological_review,needs_native_and_theological_review,0.55,
L00194,C0106,S00194,V0085,forgiveness,forgiveness,msamaha,forgiveness,religion,Kenya,religious / conversational / code-switched,Sheng AI Bible terminology candidate set,project_curated_candidate,original_terminology_annotation,yes_after_native_and_theological_review,yes_after_native_and_theological_review,needs_native_and_theological_review,0.55,
L00195,C0107,S00195,V0086,okoa,save,okoa,save,religion,Kenya,religious / conversational / code-switched,Sheng AI Bible terminology candidate set,project_curated_candidate,original_terminology_annotation,yes_after_native_and_theological_review,yes_after_native_and_theological_review,needs_native_and_theological_review,0.55,Religious salvation sense; keep separate from ordinary rescue/save senses.
L00196,C0107,S00196,V0086,save,save,okoa,save,religion,Kenya,religious / conversational / code-switched,Sheng AI Bible terminology candidate set,project_curated_candidate,original_terminology_annotation,yes_after_native_and_theological_review,yes_after_native_and_theological_review,needs_native_and_theological_review,0.55,Religious salvation sense; keep separate from ordinary rescue/save senses.
L00197,C0108,S00197,V0087,wokovu,salvation,wokovu,salvation,religion,Kenya,religious / conversational / code-switched,Sheng AI Bible terminology candidate set,project_curated_candidate,original_terminology_annotation,yes_after_native_and_theological_review,yes_after_native_and_theological_review,needs_native_and_theological_review,0.55,
L00198,C0108,S00198,V0087,salvation,salvation,wokovu,salvation,religion,Kenya,religious / conversational / code-switched,Sheng AI Bible terminology candidate set,project_curated_candidate,original_terminology_annotation,yes_after_native_and_theological_review,yes_after_native_and_theological_review,needs_native_and_theological_review,0.55,
L00199,C0109,S00199,V0088,komboa,redeem,komboa,redeem,religion,Kenya,religious / conversational / code-switched,Sheng AI Bible terminology candidate set,project_curated_candidate,original_terminology_annotation,yes_after_native_and_theological_review,yes_after_native_and_theological_review,needs_native_and_theological_review,0.55,
L00200,C0109,S00200,V0088,redeem,redeem,komboa,redeem,religion,Kenya,religious / conversational / code-switched,Sheng AI Bible terminology candidate set,project_curated_candidate,original_terminology_annotation,yes_after_native_and_theological_review,yes_after_native_and_theological_review,needs_native_and_theological_review,0.55,
L00201,C0110,S00201,V0089,ukombozi,redemption,ukombozi,redemption,religion,Kenya,religious / conversational / code-switched,Sheng AI Bible terminology candidate set,project_curated_candidate,original_terminology_annotation,yes_after_native_and_theological_review,yes_after_native_and_theological_review,needs_native_and_theological_review,0.55,
L00202,C0110,S00202,V0089,redemption,redemption,ukombozi,redemption,religion,Kenya,religious / conversational / code-switched,Sheng AI Bible terminology candidate set,project_curated_candidate,original_terminology_annotation,yes_after_native_and_theological_review,yes_after_native_and_theological_review,needs_native_and_theological_review,0.55,
L00203,C0111,S00203,V0090,Yesu,Jesus,Yesu,Jesus,religion,Kenya,religious / conversational / code-switched,Sheng AI Bible terminology candidate set,project_curated_candidate,original_terminology_annotation,yes_after_native_and_theological_review,yes_after_native_and_theological_review,needs_native_and_theological_review,0.55,
L00204,C0111,S00204,V0090,Jesus,Jesus,Yesu,Jesus,religion,Kenya,religious / conversational / code-switched,Sheng AI Bible terminology candidate set,project_curated_candidate,original_terminology_annotation,yes_after_native_and_theological_review,yes_after_native_and_theological_review,needs_native_and_theological_review,0.55,
L00205,C0112,S00205,V0091,Kristo,Christ,Kristo,Christ,religion,Kenya,religious / conversational / code-switched,Sheng AI Bible terminology candidate set,project_curated_candidate,original_terminology_annotation,yes_after_native_and_theological_review,yes_after_native_and_theological_review,needs_native_and_theological_review,0.55,
L00206,C0112,S00206,V0091,Christ,Christ,Kristo,Christ,religion,Kenya,religious / conversational / code-switched,Sheng AI Bible terminology candidate set,project_curated_candidate,original_terminology_annotation,yes_after_native_and_theological_review,yes_after_native_and_theological_review,needs_native_and_theological_review,0.55,
L00207,C0113,S00207,V0092,Masihi,Messiah,Masihi,Messiah,religion,Kenya,religious / conversational / code-switched,Sheng AI Bible terminology candidate set,project_curated_candidate,original_terminology_annotation,yes_after_native_and_theological_review,yes_after_native_and_theological_review,needs_native_and_theological_review,0.55,
L00208,C0113,S00208,V0092,Messiah,Messiah,Masihi,Messiah,religion,Kenya,religious / conversational / code-switched,Sheng AI Bible terminology candidate set,project_curated_candidate,original_terminology_annotation,yes_after_native_and_theological_review,yes_after_native_and_theological_review,needs_native_and_theological_review,0.55,
L00209,C0114,S00209,V0093,Roho Mtakatifu,Holy Spirit,Roho Mtakatifu,Holy Spirit,religion,Kenya,religious / conversational / code-switched,Sheng AI Bible terminology candidate set,project_curated_candidate,original_terminology_annotation,yes_after_native_and_theological_review,yes_after_native_and_theological_review,needs_native_and_theological_review,0.55,
L00210,C0114,S00210,V0093,Holy Spirit,Holy Spirit,Roho Mtakatifu,Holy Spirit,religion,Kenya,religious / conversational / code-switched,Sheng AI Bible terminology candidate set,project_curated_candidate,original_terminology_annotation,yes_after_native_and_theological_review,yes_after_native_and_theological_review,needs_native_and_theological_review,0.55,
L00211,C0115,S00211,V0094,roho,Spirit,roho,spirit,religion,Kenya,religious / conversational / code-switched,Sheng AI Bible terminology candidate set,project_curated_candidate,original_terminology_annotation,yes_after_native_and_theological_review,yes_after_native_and_theological_review,needs_native_and_theological_review,0.55,May have non-religious senses; future polysemy rows recommended.
L00212,C0115,S00212,V0094,spirit,Spirit,roho,spirit,religion,Kenya,religious / conversational / code-switched,Sheng AI Bible terminology candidate set,project_curated_candidate,original_terminology_annotation,yes_after_native_and_theological_review,yes_after_native_and_theological_review,needs_native_and_theological_review,0.55,May have non-religious senses; future polysemy rows recommended.
L00213,C0116,S00213,V0095,kanisa,church,kanisa,church,religion,Kenya,religious / conversational / code-switched,Sheng AI Bible terminology candidate set,project_curated_candidate,original_terminology_annotation,yes_after_native_and_theological_review,yes_after_native_and_theological_review,needs_native_and_theological_review,0.55,
L00214,C0116,S00214,V0095,church,church,kanisa,church,religion,Kenya,religious / conversational / code-switched,Sheng AI Bible terminology candidate set,project_curated_candidate,original_terminology_annotation,yes_after_native_and_theological_review,yes_after_native_and_theological_review,needs_native_and_theological_review,0.55,
L00215,C0117,S00215,V0096,Biblia,Bible,Biblia,Bible,religion,Kenya,religious / conversational / code-switched,Sheng AI Bible terminology candidate set,project_curated_candidate,original_terminology_annotation,yes_after_native_and_theological_review,yes_after_native_and_theological_review,needs_native_and_theological_review,0.55,
L00216,C0117,S00216,V0096,Bible,Bible,Biblia,Bible,religion,Kenya,religious / conversational / code-switched,Sheng AI Bible terminology candidate set,project_curated_candidate,original_terminology_annotation,yes_after_native_and_theological_review,yes_after_native_and_theological_review,needs_native_and_theological_review,0.55,
L00217,C0118,S00217,V0097,Maandiko,Scripture,Maandiko,Scripture,religion,Kenya,religious / conversational / code-switched,Sheng AI Bible terminology candidate set,project_curated_candidate,original_terminology_annotation,yes_after_native_and_theological_review,yes_after_native_and_theological_review,needs_native_and_theological_review,0.55,
L00218,C0118,S00218,V0097,Scripture,Scripture,Maandiko,Scripture,religion,Kenya,religious / conversational / code-switched,Sheng AI Bible terminology candidate set,project_curated_candidate,original_terminology_annotation,yes_after_native_and_theological_review,yes_after_native_and_theological_review,needs_native_and_theological_review,0.55,
L00219,C0119,S00219,V0098,injili,gospel,injili,gospel,religion,Kenya,religious / conversational / code-switched,Sheng AI Bible terminology candidate set,project_curated_candidate,original_terminology_annotation,yes_after_native_and_theological_review,yes_after_native_and_theological_review,needs_native_and_theological_review,0.55,
L00220,C0119,S00220,V0098,gospel,gospel,injili,gospel,religion,Kenya,religious / conversational / code-switched,Sheng AI Bible terminology candidate set,project_curated_candidate,original_terminology_annotation,yes_after_native_and_theological_review,yes_after_native_and_theological_review,needs_native_and_theological_review,0.55,
L00221,C0120,S00221,V0099,habari njema,good news,habari njema,good news,religion,Kenya,religious / conversational / code-switched,Sheng AI Bible terminology candidate set,project_curated_candidate,original_terminology_annotation,yes_after_native_and_theological_review,yes_after_native_and_theological_review,needs_native_and_theological_review,0.55,
L00222,C0120,S00222,V0099,good news,good news,habari njema,good news,religion,Kenya,religious / conversational / code-switched,Sheng AI Bible terminology candidate set,project_curated_candidate,original_terminology_annotation,yes_after_native_and_theological_review,yes_after_native_and_theological_review,needs_native_and_theological_review,0.55,
L00223,C0121,S00223,V0100,abudu,worship,abudu/ibada,worship,religion,Kenya,religious / conversational / code-switched,Sheng AI Bible terminology candidate set,project_curated_candidate,original_terminology_annotation,yes_after_native_and_theological_review,yes_after_native_and_theological_review,needs_native_and_theological_review,0.55,
L00224,C0121,S00224,V0100,ibada,worship,abudu/ibada,worship,religion,Kenya,religious / conversational / code-switched,Sheng AI Bible terminology candidate set,project_curated_candidate,original_terminology_annotation,yes_after_native_and_theological_review,yes_after_native_and_theological_review,needs_native_and_theological_review,0.55,
L00225,C0121,S00225,V0100,worship,worship,abudu/ibada,worship,religion,Kenya,religious / conversational / code-switched,Sheng AI Bible terminology candidate set,project_curated_candidate,original_terminology_annotation,yes_after_native_and_theological_review,yes_after_native_and_theological_review,needs_native_and_theological_review,0.55,
L00226,C0122,S00226,V0101,sifu,praise,sifu/sifa,praise,religion,Kenya,religious / conversational / code-switched,Sheng AI Bible terminology candidate set,project_curated_candidate,original_terminology_annotation,yes_after_native_and_theological_review,yes_after_native_and_theological_review,needs_native_and_theological_review,0.55,
L00227,C0122,S00227,V0101,sifa,praise,sifu/sifa,praise,religion,Kenya,religious / conversational / code-switched,Sheng AI Bible terminology candidate set,project_curated_candidate,original_terminology_annotation,yes_after_native_and_theological_review,yes_after_native_and_theological_review,needs_native_and_theological_review,0.55,
L00228,C0122,S00228,V0101,praise,praise,sifu/sifa,praise,religion,Kenya,religious / conversational / code-switched,Sheng AI Bible terminology candidate set,project_curated_candidate,original_terminology_annotation,yes_after_native_and_theological_review,yes_after_native_and_theological_review,needs_native_and_theological_review,0.55,
L00229,C0123,S00229,V0102,bariki,bless,bariki,bless,religion,Kenya,religious / conversational / code-switched,Sheng AI Bible terminology candidate set,project_curated_candidate,original_terminology_annotation,yes_after_native_and_theological_review,yes_after_native_and_theological_review,needs_native_and_theological_review,0.55,
L00230,C0123,S00230,V0102,bless,bless,bariki,bless,religion,Kenya,religious / conversational / code-switched,Sheng AI Bible terminology candidate set,project_curated_candidate,original_terminology_annotation,yes_after_native_and_theological_review,yes_after_native_and_theological_review,needs_native_and_theological_review,0.55,
L00231,C0124,S00231,V0103,baraka,blessing,baraka,blessing,religion,Kenya,religious / conversational / code-switched,Sheng AI Bible terminology candidate set,project_curated_candidate,original_terminology_annotation,yes_after_native_and_theological_review,yes_after_native_and_theological_review,needs_native_and_theological_review,0.55,
L00232,C0124,S00232,V0103,blessing,blessing,baraka,blessing,religion,Kenya,religious / conversational / code-switched,Sheng AI Bible terminology candidate set,project_curated_candidate,original_terminology_annotation,yes_after_native_and_theological_review,yes_after_native_and_theological_review,needs_native_and_theological_review,0.55,
L00233,C0125,S00233,V0104,mbingu,heaven,mbingu,heaven,religion,Kenya,religious / conversational / code-switched,Sheng AI Bible terminology candidate set,project_curated_candidate,original_terminology_annotation,yes_after_native_and_theological_review,yes_after_native_and_theological_review,needs_native_and_theological_review,0.55,
L00234,C0125,S00234,V0104,heaven,heaven,mbingu,heaven,religion,Kenya,religious / conversational / code-switched,Sheng AI Bible terminology candidate set,project_curated_candidate,original_terminology_annotation,yes_after_native_and_theological_review,yes_after_native_and_theological_review,needs_native_and_theological_review,0.55,
L00235,C0126,S00235,V0105,jehanamu,hell,jehanamu,hell,religion,Kenya,religious / conversational / code-switched,Sheng AI Bible terminology candidate set,project_curated_candidate,original_terminology_annotation,yes_after_native_and_theological_review,yes_after_native_and_theological_review,needs_native_and_theological_review,0.55,
L00236,C0126,S00236,V0105,hell,hell,jehanamu,hell,religion,Kenya,religious / conversational / code-switched,Sheng AI Bible terminology candidate set,project_curated_candidate,original_terminology_annotation,yes_after_native_and_theological_review,yes_after_native_and_theological_review,needs_native_and_theological_review,0.55,
L00237,C0127,S00237,V0106,malaika,angel,malaika,angel,religion,Kenya,religious / conversational / code-switched,Sheng AI Bible terminology candidate set,project_curated_candidate,original_terminology_annotation,yes_after_native_and_theological_review,yes_after_native_and_theological_review,needs_native_and_theological_review,0.55,
L00238,C0127,S00238,V0106,angel,angel,malaika,angel,religion,Kenya,religious / conversational / code-switched,Sheng AI Bible terminology candidate set,project_curated_candidate,original_terminology_annotation,yes_after_native_and_theological_review,yes_after_native_and_theological_review,needs_native_and_theological_review,0.55,
L00239,C0128,S00239,V0107,shetani,devil,shetani,devil,religion,Kenya,religious / conversational / code-switched,Sheng AI Bible terminology candidate set,project_curated_candidate,original_terminology_annotation,yes_after_native_and_theological_review,yes_after_native_and_theological_review,needs_native_and_theological_review,0.55,
L00240,C0128,S00240,V0107,devil,devil,shetani,devil,religion,Kenya,religious / conversational / code-switched,Sheng AI Bible terminology candidate set,project_curated_candidate,original_terminology_annotation,yes_after_native_and_theological_review,yes_after_native_and_theological_review,needs_native_and_theological_review,0.55,
L00241,C0129,S00241,V0108,Shetani,Satan,Shetani,Satan,religion,Kenya,religious / conversational / code-switched,Sheng AI Bible terminology candidate set,project_curated_candidate,original_terminology_annotation,yes_after_native_and_theological_review,yes_after_native_and_theological_review,needs_native_and_theological_review,0.55,
L00242,C0129,S00242,V0108,Satan,Satan,Shetani,Satan,religion,Kenya,religious / conversational / code-switched,Sheng AI Bible terminology candidate set,project_curated_candidate,original_terminology_annotation,yes_after_native_and_theological_review,yes_after_native_and_theological_review,needs_native_and_theological_review,0.55,
L00243,C0130,S00243,V0109,pepo,demon,pepo,demon,religion,Kenya,religious / conversational / code-switched,Sheng AI Bible terminology candidate set,project_curated_candidate,original_terminology_annotation,yes_after_native_and_theological_review,yes_after_native_and_theological_review,needs_native_and_theological_review,0.55,Polysemy/context review needed; 'pepo' can have broader meanings.
L00244,C0130,S00244,V0109,demon,demon,pepo,demon,religion,Kenya,religious / conversational / code-switched,Sheng AI Bible terminology candidate set,project_curated_candidate,original_terminology_annotation,yes_after_native_and_theological_review,yes_after_native_and_theological_review,needs_native_and_theological_review,0.55,Polysemy/context review needed; 'pepo' can have broader meanings.
L00245,C0131,S00245,V0110,nabii,prophet,nabii,prophet,religion,Kenya,religious / conversational / code-switched,Sheng AI Bible terminology candidate set,project_curated_candidate,original_terminology_annotation,yes_after_native_and_theological_review,yes_after_native_and_theological_review,needs_native_and_theological_review,0.55,
L00246,C0131,S00246,V0110,prophet,prophet,nabii,prophet,religion,Kenya,religious / conversational / code-switched,Sheng AI Bible terminology candidate set,project_curated_candidate,original_terminology_annotation,yes_after_native_and_theological_review,yes_after_native_and_theological_review,needs_native_and_theological_review,0.55,
L00247,C0132,S00247,V0111,mwanafunzi,disciple,mwanafunzi,disciple,religion,Kenya,religious / conversational / code-switched,Sheng AI Bible terminology candidate set,project_curated_candidate,original_terminology_annotation,yes_after_native_and_theological_review,yes_after_native_and_theological_review,needs_native_and_theological_review,0.55,Keep distinct from general 'student' sense in future sense-tagging.
L00248,C0132,S00248,V0111,disciple,disciple,mwanafunzi,disciple,religion,Kenya,religious / conversational / code-switched,Sheng AI Bible terminology candidate set,project_curated_candidate,original_terminology_annotation,yes_after_native_and_theological_review,yes_after_native_and_theological_review,needs_native_and_theological_review,0.55,Keep distinct from general 'student' sense in future sense-tagging.
L00249,C0133,S00249,V0112,mtume,apostle,mtume,apostle,religion,Kenya,religious / conversational / code-switched,Sheng AI Bible terminology candidate set,project_curated_candidate,original_terminology_annotation,yes_after_native_and_theological_review,yes_after_native_and_theological_review,needs_native_and_theological_review,0.55,
L00250,C0133,S00250,V0112,apostle,apostle,mtume,apostle,religion,Kenya,religious / conversational / code-switched,Sheng AI Bible terminology candidate set,project_curated_candidate,original_terminology_annotation,yes_after_native_and_theological_review,yes_after_native_and_theological_review,needs_native_and_theological_review,0.55,
L00251,C0134,S00251,V0113,mchungaji,pastor,mchungaji,pastor,religion,Kenya,religious / conversational / code-switched,Sheng AI Bible terminology candidate set,project_curated_candidate,original_terminology_annotation,yes_after_native_and_theological_review,yes_after_native_and_theological_review,needs_native_and_theological_review,0.55,
L00252,C0134,S00252,V0113,pastor,pastor,mchungaji,pastor,religion,Kenya,religious / conversational / code-switched,Sheng AI Bible terminology candidate set,project_curated_candidate,original_terminology_annotation,yes_after_native_and_theological_review,yes_after_native_and_theological_review,needs_native_and_theological_review,0.55,
L00253,C0135,S00253,V0114,kuhani,priest,kuhani,priest,religion,Kenya,religious / conversational / code-switched,Sheng AI Bible terminology candidate set,project_curated_candidate,original_terminology_annotation,yes_after_native_and_theological_review,yes_after_native_and_theological_review,needs_native_and_theological_review,0.55,
L00254,C0135,S00254,V0114,priest,priest,kuhani,priest,religion,Kenya,religious / conversational / code-switched,Sheng AI Bible terminology candidate set,project_curated_candidate,original_terminology_annotation,yes_after_native_and_theological_review,yes_after_native_and_theological_review,needs_native_and_theological_review,0.55,
L00255,C0136,S00255,V0115,ufalme,kingdom,ufalme,kingdom,religion,Kenya,religious / conversational / code-switched,Sheng AI Bible terminology candidate set,project_curated_candidate,original_terminology_annotation,yes_after_native_and_theological_review,yes_after_native_and_theological_review,needs_native_and_theological_review,0.55,
L00256,C0136,S00256,V0115,kingdom,kingdom,ufalme,kingdom,religion,Kenya,religious / conversational / code-switched,Sheng AI Bible terminology candidate set,project_curated_candidate,original_terminology_annotation,yes_after_native_and_theological_review,yes_after_native_and_theological_review,needs_native_and_theological_review,0.55,
L00257,C0137,S00257,V0116,Ufalme wa Mungu,Kingdom of God,Ufalme wa Mungu,Kingdom of God,religion,Kenya,religious / conversational / code-switched,Sheng AI Bible terminology candidate set,project_curated_candidate,original_terminology_annotation,yes_after_native_and_theological_review,yes_after_native_and_theological_review,needs_native_and_theological_review,0.55,
L00258,C0137,S00258,V0116,Kingdom of God,Kingdom of God,Ufalme wa Mungu,Kingdom of God,religion,Kenya,religious / conversational / code-switched,Sheng AI Bible terminology candidate set,project_curated_candidate,original_terminology_annotation,yes_after_native_and_theological_review,yes_after_native_and_theological_review,needs_native_and_theological_review,0.55,
L00259,C0138,S00259,V0117,agano,covenant,agano,covenant,religion,Kenya,religious / conversational / code-switched,Sheng AI Bible terminology candidate set,project_curated_candidate,original_terminology_annotation,yes_after_native_and_theological_review,yes_after_native_and_theological_review,needs_native_and_theological_review,0.55,
L00260,C0138,S00260,V0117,covenant,covenant,agano,covenant,religion,Kenya,religious / conversational / code-switched,Sheng AI Bible terminology candidate set,project_curated_candidate,original_terminology_annotation,yes_after_native_and_theological_review,yes_after_native_and_theological_review,needs_native_and_theological_review,0.55,
