row_id,lexeme_id,concept_id,sense_id,variant_group_id,surface_form,canonical_concept,swahili_gloss,english_gloss,category,sheng_text,swahili_text,english_text,code_switch_level,review_class,source_name,source_type,generation_method,permission_basis,training_use_allowed,commercial_use_allowed,review_status,confidence
T000177,L00177,C0098,S00177,V0077,maombi,prayer,sala/maombi,prayer,religion,maze Amani alisema 'maombi' kwa convo ya faith leo pale tao.,Amani alitumia 'maombi' kumaanisha sala katika mazungumzo ya imani leo pale mjini.,Amani used 'maombi' to mean prayer in a faith conversation today at town.,low,native_and_theological,Sheng AI synthetic corpus v2,synthetic,controlled_context_augmentation,original_synthetic_sentence,yes_after_required_review,yes_after_required_review,synthetic_needs_native_and_theological_review,0.50
T000178,L00178,C0098,S00178,V0077,prayer,prayer,sala/maombi,prayer,religion,maze Amani alisema 'prayer' kwa convo ya faith leo pale tao.,Amani alitumia 'prayer' kumaanisha sala katika mazungumzo ya imani leo pale mjini.,Amani used 'prayer' to mean prayer in a faith conversation today at town.,low,native_and_theological,Sheng AI synthetic corpus v2,synthetic,controlled_context_augmentation,original_synthetic_sentence,yes_after_required_review,yes_after_required_review,synthetic_needs_native_and_theological_review,0.50
T000179,L00179,C0099,S00179,V0078,imani,faith,imani,faith,religion,maze Amani alisema 'imani' kwa convo ya faith leo pale tao.,Amani alitumia 'imani' kumaanisha imani katika mazungumzo ya imani leo pale mjini.,Amani used 'imani' to mean faith in a faith conversation today at town.,low,native_and_theological,Sheng AI synthetic corpus v2,synthetic,controlled_context_augmentation,original_synthetic_sentence,yes_after_required_review,yes_after_required_review,synthetic_needs_native_and_theological_review,0.50
T000180,L00180,C0099,S00180,V0078,faith,faith,imani,faith,religion,maze Amani alisema 'faith' kwa convo ya faith leo pale tao.,Amani alitumia 'faith' kumaanisha imani katika mazungumzo ya imani leo pale mjini.,Amani used 'faith' to mean faith in a faith conversation today at town.,low,native_and_theological,Sheng AI synthetic corpus v2,synthetic,controlled_context_augmentation,original_synthetic_sentence,yes_after_required_review,yes_after_required_review,synthetic_needs_native_and_theological_review,0.50
T000181,L00181,C0100,S00181,V0079,amini,believe,amini,believe,religion,maze Amani alisema 'amini' kwa convo ya faith leo pale tao.,Amani alitumia 'amini' kumaanisha amini katika mazungumzo ya imani leo pale mjini.,Amani used 'amini' to mean believe in a faith conversation today at town.,low,native_and_theological,Sheng AI synthetic corpus v2,synthetic,controlled_context_augmentation,original_synthetic_sentence,yes_after_required_review,yes_after_required_review,synthetic_needs_native_and_theological_review,0.50
T000182,L00182,C0100,S00182,V0079,believe,believe,amini,believe,religion,maze Amani alisema 'believe' kwa convo ya faith leo pale tao.,Amani alitumia 'believe' kumaanisha amini katika mazungumzo ya imani leo pale mjini.,Amani used 'believe' to mean believe in a faith conversation today at town.,low,native_and_theological,Sheng AI synthetic corpus v2,synthetic,controlled_context_augmentation,original_synthetic_sentence,yes_after_required_review,yes_after_required_review,synthetic_needs_native_and_theological_review,0.50
T000183,L00183,C0101,S00183,V0080,neema,grace,neema,grace,religion,maze Amani alisema 'neema' kwa convo ya faith leo pale tao.,Amani alitumia 'neema' kumaanisha neema katika mazungumzo ya imani leo pale mjini.,Amani used 'neema' to mean grace in a faith conversation today at town.,low,native_and_theological,Sheng AI synthetic corpus v2,synthetic,controlled_context_augmentation,original_synthetic_sentence,yes_after_required_review,yes_after_required_review,synthetic_needs_native_and_theological_review,0.50
T000184,L00184,C0101,S00184,V0080,grace,grace,neema,grace,religion,maze Amani alisema 'grace' kwa convo ya faith leo pale tao.,Amani alitumia 'grace' kumaanisha neema katika mazungumzo ya imani leo pale mjini.,Amani used 'grace' to mean grace in a faith conversation today at town.,low,native_and_theological,Sheng AI synthetic corpus v2,synthetic,controlled_context_augmentation,original_synthetic_sentence,yes_after_required_review,yes_after_required_review,synthetic_needs_native_and_theological_review,0.50
T000185,L00185,C0102,S00185,V0081,rehema,mercy,rehema,mercy,religion,maze Amani alisema 'rehema' kwa convo ya faith leo pale tao.,Amani alitumia 'rehema' kumaanisha rehema katika mazungumzo ya imani leo pale mjini.,Amani used 'rehema' to mean mercy in a faith conversation today at town.,low,native_and_theological,Sheng AI synthetic corpus v2,synthetic,controlled_context_augmentation,original_synthetic_sentence,yes_after_required_review,yes_after_required_review,synthetic_needs_native_and_theological_review,0.50
T000186,L00186,C0102,S00186,V0081,mercy,mercy,rehema,mercy,religion,maze Amani alisema 'mercy' kwa convo ya faith leo pale tao.,Amani alitumia 'mercy' kumaanisha rehema katika mazungumzo ya imani leo pale mjini.,Amani used 'mercy' to mean mercy in a faith conversation today at town.,low,native_and_theological,Sheng AI synthetic corpus v2,synthetic,controlled_context_augmentation,original_synthetic_sentence,yes_after_required_review,yes_after_required_review,synthetic_needs_native_and_theological_review,0.50
T000187,L00187,C0103,S00187,V0082,dhambi,sin,dhambi,sin,religion,maze Amani alisema 'dhambi' kwa convo ya faith leo pale tao.,Amani alitumia 'dhambi' kumaanisha dhambi katika mazungumzo ya imani leo pale mjini.,Amani used 'dhambi' to mean sin in a faith conversation today at town.,low,native_and_theological,Sheng AI synthetic corpus v2,synthetic,controlled_context_augmentation,original_synthetic_sentence,yes_after_required_review,yes_after_required_review,synthetic_needs_native_and_theological_review,0.50
T000188,L00188,C0103,S00188,V0082,sin,sin,dhambi,sin,religion,maze Amani alisema 'sin' kwa convo ya faith leo pale tao.,Amani alitumia 'sin' kumaanisha dhambi katika mazungumzo ya imani leo pale mjini.,Amani used 'sin' to mean sin in a faith conversation today at town.,low,native_and_theological,Sheng AI synthetic corpus v2,synthetic,controlled_context_augmentation,original_synthetic_sentence,yes_after_required_review,yes_after_required_review,synthetic_needs_native_and_theological_review,0.50
T000189,L00189,C0104,S00189,V0083,mwenye dhambi,sinner,mwenye dhambi,sinner,religion,maze Amani alisema 'mwenye dhambi' kwa convo ya faith leo pale tao.,Amani alitumia 'mwenye dhambi' kumaanisha mwenye dhambi katika mazungumzo ya imani leo pale mjini.,Amani used 'mwenye dhambi' to mean sinner in a faith conversation today at town.,low,native_and_theological,Sheng AI synthetic corpus v2,synthetic,controlled_context_augmentation,original_synthetic_sentence,yes_after_required_review,yes_after_required_review,synthetic_needs_native_and_theological_review,0.50
T000190,L00190,C0104,S00190,V0083,sinner,sinner,mwenye dhambi,sinner,religion,maze Amani alisema 'sinner' kwa convo ya faith leo pale tao.,Amani alitumia 'sinner' kumaanisha mwenye dhambi katika mazungumzo ya imani leo pale mjini.,Amani used 'sinner' to mean sinner in a faith conversation today at town.,low,native_and_theological,Sheng AI synthetic corpus v2,synthetic,controlled_context_augmentation,original_synthetic_sentence,yes_after_required_review,yes_after_required_review,synthetic_needs_native_and_theological_review,0.50
T000191,L00191,C0105,S00191,V0084,samehe,forgive,samehe,forgive,religion,maze Amani alisema 'samehe' kwa convo ya faith leo pale tao.,Amani alitumia 'samehe' kumaanisha samehe katika mazungumzo ya imani leo pale mjini.,Amani used 'samehe' to mean forgive in a faith conversation today at town.,low,native_and_theological,Sheng AI synthetic corpus v2,synthetic,controlled_context_augmentation,original_synthetic_sentence,yes_after_required_review,yes_after_required_review,synthetic_needs_native_and_theological_review,0.50
T000192,L00192,C0105,S00192,V0084,forgive,forgive,samehe,forgive,religion,maze Amani alisema 'forgive' kwa convo ya faith leo pale tao.,Amani alitumia 'forgive' kumaanisha samehe katika mazungumzo ya imani leo pale mjini.,Amani used 'forgive' to mean forgive in a faith conversation today at town.,low,native_and_theological,Sheng AI synthetic corpus v2,synthetic,controlled_context_augmentation,original_synthetic_sentence,yes_after_required_review,yes_after_required_review,synthetic_needs_native_and_theological_review,0.50
T000193,L00193,C0106,S00193,V0085,msamaha,forgiveness,msamaha,forgiveness,religion,maze Amani alisema 'msamaha' kwa convo ya faith leo pale tao.,Amani alitumia 'msamaha' kumaanisha msamaha katika mazungumzo ya imani leo pale mjini.,Amani used 'msamaha' to mean forgiveness in a faith conversation today at town.,low,native_and_theological,Sheng AI synthetic corpus v2,synthetic,controlled_context_augmentation,original_synthetic_sentence,yes_after_required_review,yes_after_required_review,synthetic_needs_native_and_theological_review,0.50
T000194,L00194,C0106,S00194,V0085,forgiveness,forgiveness,msamaha,forgiveness,religion,maze Amani alisema 'forgiveness' kwa convo ya faith leo pale tao.,Amani alitumia 'forgiveness' kumaanisha msamaha katika mazungumzo ya imani leo pale mjini.,Amani used 'forgiveness' to mean forgiveness in a faith conversation today at town.,low,native_and_theological,Sheng AI synthetic corpus v2,synthetic,controlled_context_augmentation,original_synthetic_sentence,yes_after_required_review,yes_after_required_review,synthetic_needs_native_and_theological_review,0.50
T000195,L00195,C0107,S00195,V0086,okoa,save,okoa,save,religion,maze Amani alisema 'okoa' kwa convo ya faith leo pale tao.,Amani alitumia 'okoa' kumaanisha okoa katika mazungumzo ya imani leo pale mjini.,Amani used 'okoa' to mean save in a faith conversation today at town.,low,native_and_theological,Sheng AI synthetic corpus v2,synthetic,controlled_context_augmentation,original_synthetic_sentence,yes_after_required_review,yes_after_required_review,synthetic_needs_native_and_theological_review,0.50
T000196,L00196,C0107,S00196,V0086,save,save,okoa,save,religion,maze Amani alisema 'save' kwa convo ya faith leo pale tao.,Amani alitumia 'save' kumaanisha okoa katika mazungumzo ya imani leo pale mjini.,Amani used 'save' to mean save in a faith conversation today at town.,low,native_and_theological,Sheng AI synthetic corpus v2,synthetic,controlled_context_augmentation,original_synthetic_sentence,yes_after_required_review,yes_after_required_review,synthetic_needs_native_and_theological_review,0.50
T000197,L00197,C0108,S00197,V0087,wokovu,salvation,wokovu,salvation,religion,maze Amani alisema 'wokovu' kwa convo ya faith leo pale tao.,Amani alitumia 'wokovu' kumaanisha wokovu katika mazungumzo ya imani leo pale mjini.,Amani used 'wokovu' to mean salvation in a faith conversation today at town.,low,native_and_theological,Sheng AI synthetic corpus v2,synthetic,controlled_context_augmentation,original_synthetic_sentence,yes_after_required_review,yes_after_required_review,synthetic_needs_native_and_theological_review,0.50
T000198,L00198,C0108,S00198,V0087,salvation,salvation,wokovu,salvation,religion,maze Amani alisema 'salvation' kwa convo ya faith leo pale tao.,Amani alitumia 'salvation' kumaanisha wokovu katika mazungumzo ya imani leo pale mjini.,Amani used 'salvation' to mean salvation in a faith conversation today at town.,low,native_and_theological,Sheng AI synthetic corpus v2,synthetic,controlled_context_augmentation,original_synthetic_sentence,yes_after_required_review,yes_after_required_review,synthetic_needs_native_and_theological_review,0.50
T000199,L00199,C0109,S00199,V0088,komboa,redeem,komboa,redeem,religion,maze Amani alisema 'komboa' kwa convo ya faith leo pale tao.,Amani alitumia 'komboa' kumaanisha komboa katika mazungumzo ya imani leo pale mjini.,Amani used 'komboa' to mean redeem in a faith conversation today at town.,low,native_and_theological,Sheng AI synthetic corpus v2,synthetic,controlled_context_augmentation,original_synthetic_sentence,yes_after_required_review,yes_after_required_review,synthetic_needs_native_and_theological_review,0.50
T000200,L00200,C0109,S00200,V0088,redeem,redeem,komboa,redeem,religion,maze Amani alisema 'redeem' kwa convo ya faith leo pale tao.,Amani alitumia 'redeem' kumaanisha komboa katika mazungumzo ya imani leo pale mjini.,Amani used 'redeem' to mean redeem in a faith conversation today at town.,low,native_and_theological,Sheng AI synthetic corpus v2,synthetic,controlled_context_augmentation,original_synthetic_sentence,yes_after_required_review,yes_after_required_review,synthetic_needs_native_and_theological_review,0.50
T000201,L00201,C0110,S00201,V0089,ukombozi,redemption,ukombozi,redemption,religion,maze Amani alisema 'ukombozi' kwa convo ya faith leo pale tao.,Amani alitumia 'ukombozi' kumaanisha ukombozi katika mazungumzo ya imani leo pale mjini.,Amani used 'ukombozi' to mean redemption in a faith conversation today at town.,low,native_and_theological,Sheng AI synthetic corpus v2,synthetic,controlled_context_augmentation,original_synthetic_sentence,yes_after_required_review,yes_after_required_review,synthetic_needs_native_and_theological_review,0.50
T000202,L00202,C0110,S00202,V0089,redemption,redemption,ukombozi,redemption,religion,maze Amani alisema 'redemption' kwa convo ya faith leo pale tao.,Amani alitumia 'redemption' kumaanisha ukombozi katika mazungumzo ya imani leo pale mjini.,Amani used 'redemption' to mean redemption in a faith conversation today at town.,low,native_and_theological,Sheng AI synthetic corpus v2,synthetic,controlled_context_augmentation,original_synthetic_sentence,yes_after_required_review,yes_after_required_review,synthetic_needs_native_and_theological_review,0.50
T000203,L00203,C0111,S00203,V0090,Yesu,Jesus,Yesu,Jesus,religion,maze Amani alisema 'Yesu' kwa convo ya faith leo pale tao.,Amani alitumia 'Yesu' kumaanisha Yesu katika mazungumzo ya imani leo pale mjini.,Amani used 'Yesu' to mean Jesus in a faith conversation today at town.,low,native_and_theological,Sheng AI synthetic corpus v2,synthetic,controlled_context_augmentation,original_synthetic_sentence,yes_after_required_review,yes_after_required_review,synthetic_needs_native_and_theological_review,0.50
T000204,L00204,C0111,S00204,V0090,Jesus,Jesus,Yesu,Jesus,religion,maze Amani alisema 'Jesus' kwa convo ya faith leo pale tao.,Amani alitumia 'Jesus' kumaanisha Yesu katika mazungumzo ya imani leo pale mjini.,Amani used 'Jesus' to mean Jesus in a faith conversation today at town.,low,native_and_theological,Sheng AI synthetic corpus v2,synthetic,controlled_context_augmentation,original_synthetic_sentence,yes_after_required_review,yes_after_required_review,synthetic_needs_native_and_theological_review,0.50
T000205,L00205,C0112,S00205,V0091,Kristo,Christ,Kristo,Christ,religion,maze Amani alisema 'Kristo' kwa convo ya faith leo pale tao.,Amani alitumia 'Kristo' kumaanisha Kristo katika mazungumzo ya imani leo pale mjini.,Amani used 'Kristo' to mean Christ in a faith conversation today at town.,low,native_and_theological,Sheng AI synthetic corpus v2,synthetic,controlled_context_augmentation,original_synthetic_sentence,yes_after_required_review,yes_after_required_review,synthetic_needs_native_and_theological_review,0.50
T000206,L00206,C0112,S00206,V0091,Christ,Christ,Kristo,Christ,religion,maze Amani alisema 'Christ' kwa convo ya faith leo pale tao.,Amani alitumia 'Christ' kumaanisha Kristo katika mazungumzo ya imani leo pale mjini.,Amani used 'Christ' to mean Christ in a faith conversation today at town.,low,native_and_theological,Sheng AI synthetic corpus v2,synthetic,controlled_context_augmentation,original_synthetic_sentence,yes_after_required_review,yes_after_required_review,synthetic_needs_native_and_theological_review,0.50
T000207,L00207,C0113,S00207,V0092,Masihi,Messiah,Masihi,Messiah,religion,maze Amani alisema 'Masihi' kwa convo ya faith leo pale tao.,Amani alitumia 'Masihi' kumaanisha Masihi katika mazungumzo ya imani leo pale mjini.,Amani used 'Masihi' to mean Messiah in a faith conversation today at town.,low,native_and_theological,Sheng AI synthetic corpus v2,synthetic,controlled_context_augmentation,original_synthetic_sentence,yes_after_required_review,yes_after_required_review,synthetic_needs_native_and_theological_review,0.50
T000208,L00208,C0113,S00208,V0092,Messiah,Messiah,Masihi,Messiah,religion,maze Amani alisema 'Messiah' kwa convo ya faith leo pale tao.,Amani alitumia 'Messiah' kumaanisha Masihi katika mazungumzo ya imani leo pale mjini.,Amani used 'Messiah' to mean Messiah in a faith conversation today at town.,low,native_and_theological,Sheng AI synthetic corpus v2,synthetic,controlled_context_augmentation,original_synthetic_sentence,yes_after_required_review,yes_after_required_review,synthetic_needs_native_and_theological_review,0.50
T000209,L00209,C0114,S00209,V0093,Roho Mtakatifu,Holy Spirit,Roho Mtakatifu,Holy Spirit,religion,maze Amani alisema 'Roho Mtakatifu' kwa convo ya faith leo pale tao.,Amani alitumia 'Roho Mtakatifu' kumaanisha Roho Mtakatifu katika mazungumzo ya imani leo pale mjini.,Amani used 'Roho Mtakatifu' to mean Holy Spirit in a faith conversation today at town.,low,native_and_theological,Sheng AI synthetic corpus v2,synthetic,controlled_context_augmentation,original_synthetic_sentence,yes_after_required_review,yes_after_required_review,synthetic_needs_native_and_theological_review,0.50
T000210,L00210,C0114,S00210,V0093,Holy Spirit,Holy Spirit,Roho Mtakatifu,Holy Spirit,religion,maze Amani alisema 'Holy Spirit' kwa convo ya faith leo pale tao.,Amani alitumia 'Holy Spirit' kumaanisha Roho Mtakatifu katika mazungumzo ya imani leo pale mjini.,Amani used 'Holy Spirit' to mean Holy Spirit in a faith conversation today at town.,low,native_and_theological,Sheng AI synthetic corpus v2,synthetic,controlled_context_augmentation,original_synthetic_sentence,yes_after_required_review,yes_after_required_review,synthetic_needs_native_and_theological_review,0.50
T000211,L00211,C0115,S00211,V0094,roho,Spirit,roho,spirit,religion,maze Amani alisema 'roho' kwa convo ya faith leo pale tao.,Amani alitumia 'roho' kumaanisha roho katika mazungumzo ya imani leo pale mjini.,Amani used 'roho' to mean spirit in a faith conversation today at town.,low,native_and_theological,Sheng AI synthetic corpus v2,synthetic,controlled_context_augmentation,original_synthetic_sentence,yes_after_required_review,yes_after_required_review,synthetic_needs_native_and_theological_review,0.50
T000212,L00212,C0115,S00212,V0094,spirit,Spirit,roho,spirit,religion,maze Amani alisema 'spirit' kwa convo ya faith leo pale tao.,Amani alitumia 'spirit' kumaanisha roho katika mazungumzo ya imani leo pale mjini.,Amani used 'spirit' to mean spirit in a faith conversation today at town.,low,native_and_theological,Sheng AI synthetic corpus v2,synthetic,controlled_context_augmentation,original_synthetic_sentence,yes_after_required_review,yes_after_required_review,synthetic_needs_native_and_theological_review,0.50
T000213,L00213,C0116,S00213,V0095,kanisa,church,kanisa,church,religion,maze Amani alisema 'kanisa' kwa convo ya faith leo pale tao.,Amani alitumia 'kanisa' kumaanisha kanisa katika mazungumzo ya imani leo pale mjini.,Amani used 'kanisa' to mean church in a faith conversation today at town.,low,native_and_theological,Sheng AI synthetic corpus v2,synthetic,controlled_context_augmentation,original_synthetic_sentence,yes_after_required_review,yes_after_required_review,synthetic_needs_native_and_theological_review,0.50
T000214,L00214,C0116,S00214,V0095,church,church,kanisa,church,religion,maze Amani alisema 'church' kwa convo ya faith leo pale tao.,Amani alitumia 'church' kumaanisha kanisa katika mazungumzo ya imani leo pale mjini.,Amani used 'church' to mean church in a faith conversation today at town.,low,native_and_theological,Sheng AI synthetic corpus v2,synthetic,controlled_context_augmentation,original_synthetic_sentence,yes_after_required_review,yes_after_required_review,synthetic_needs_native_and_theological_review,0.50
T000215,L00215,C0117,S00215,V0096,Biblia,Bible,Biblia,Bible,religion,maze Amani alisema 'Biblia' kwa convo ya faith leo pale tao.,Amani alitumia 'Biblia' kumaanisha Biblia katika mazungumzo ya imani leo pale mjini.,Amani used 'Biblia' to mean Bible in a faith conversation today at town.,low,native_and_theological,Sheng AI synthetic corpus v2,synthetic,controlled_context_augmentation,original_synthetic_sentence,yes_after_required_review,yes_after_required_review,synthetic_needs_native_and_theological_review,0.50
T000216,L00216,C0117,S00216,V0096,Bible,Bible,Biblia,Bible,religion,maze Amani alisema 'Bible' kwa convo ya faith leo pale tao.,Amani alitumia 'Bible' kumaanisha Biblia katika mazungumzo ya imani leo pale mjini.,Amani used 'Bible' to mean Bible in a faith conversation today at town.,low,native_and_theological,Sheng AI synthetic corpus v2,synthetic,controlled_context_augmentation,original_synthetic_sentence,yes_after_required_review,yes_after_required_review,synthetic_needs_native_and_theological_review,0.50
T000217,L00217,C0118,S00217,V0097,Maandiko,Scripture,Maandiko,Scripture,religion,maze Amani alisema 'Maandiko' kwa convo ya faith leo pale tao.,Amani alitumia 'Maandiko' kumaanisha Maandiko katika mazungumzo ya imani leo pale mjini.,Amani used 'Maandiko' to mean Scripture in a faith conversation today at town.,low,native_and_theological,Sheng AI synthetic corpus v2,synthetic,controlled_context_augmentation,original_synthetic_sentence,yes_after_required_review,yes_after_required_review,synthetic_needs_native_and_theological_review,0.50
T000218,L00218,C0118,S00218,V0097,Scripture,Scripture,Maandiko,Scripture,religion,maze Amani alisema 'Scripture' kwa convo ya faith leo pale tao.,Amani alitumia 'Scripture' kumaanisha Maandiko katika mazungumzo ya imani leo pale mjini.,Amani used 'Scripture' to mean Scripture in a faith conversation today at town.,low,native_and_theological,Sheng AI synthetic corpus v2,synthetic,controlled_context_augmentation,original_synthetic_sentence,yes_after_required_review,yes_after_required_review,synthetic_needs_native_and_theological_review,0.50
T000219,L00219,C0119,S00219,V0098,injili,gospel,injili,gospel,religion,maze Amani alisema 'injili' kwa convo ya faith leo pale tao.,Amani alitumia 'injili' kumaanisha injili katika mazungumzo ya imani leo pale mjini.,Amani used 'injili' to mean gospel in a faith conversation today at town.,low,native_and_theological,Sheng AI synthetic corpus v2,synthetic,controlled_context_augmentation,original_synthetic_sentence,yes_after_required_review,yes_after_required_review,synthetic_needs_native_and_theological_review,0.50
