lexeme_id,concept_id,sense_id,variant_group_id,surface_form,canonical_concept,swahili_gloss,english_gloss,category,region,register,source_name,source_type,permission_basis,training_use_allowed,commercial_use_allowed,review_status,confidence,notes
L00011,C0010,S00011,V0006,base,hangout spot,mahali,spot / hangout place,places,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00012,C0011,S00012,V0006,base,home/base,nyumbani,home / base,places,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00013,C0012,S00013,V0007,keja,house/home,nyumba,house / home,places,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00014,C0012,S00014,V0007,hao,house/home,nyumba,house / home,places,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00015,C0012,S00015,V0007,digs,house/home,nyumba,house / home,places,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00016,C0012,S00016,V0007,guba,house/home,nyumba,house / home,places,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00017,C0012,S00017,V0007,ndaki,house/home,nyumba,house / home,places,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00018,C0013,S00018,V0008,mtaa,neighborhood,mtaa,neighborhood / hood,places,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00019,C0014,S00019,V0009,tao,town/CBD,mji,town / CBD,places,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00020,C0015,S00020,V0010,Kanairo,Nairobi,Nairobi,Nairobi,places,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00021,C0016,S00021,V0011,mathe,mother,mama,mother / mum,family,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00022,C0016,S00022,V0011,mathee,mother,mama,mother / mum,family,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00023,C0016,S00023,V0011,matha,mother,mama,mother / mum,family,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00024,C0016,S00024,V0011,madhe,mother,mama,mother / mum,family,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00025,C0016,S00025,V0011,madha,mother,mama,mother / mum,family,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00026,C0016,S00026,V0011,masa,mother,mama,mother / mum,family,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00027,C0016,S00027,V0011,mthama,mother,mama,mother / mum,family,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00028,C0016,S00028,V0011,muthama,mother,mama,mother / mum,family,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00029,C0016,S00029,V0011,mdhama,mother,mama,mother / mum,family,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00030,C0016,S00030,V0011,mudhama,mother,mama,mother / mum,family,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00031,C0017,S00031,V0011,mokoro,mother/older woman,mama/mwanamke mzee,mother / older woman,family,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00032,C0017,S00032,V0011,mukoro,mother/older woman,mama/mwanamke mzee,mother / older woman,family,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00033,C0016,S00033,V0011,mkoro,mother,mama,mother / mum,family,Kenya,informal/sheng,User-provided seed,user_provided,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,User-provided candidate; verify natively
L00034,C0018,S00034,V0012,fathe,father,baba,father / dad,family,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00035,C0019,S00035,V0012,mzae,father/older man,baba/mzee,father / older man,family,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00036,C0018,S00036,V0012,mbuyu,father,baba,father / dad,family,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00037,C0018,S00037,V0012,mzing,father,baba,father / dad,family,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00038,C0018,S00038,V0012,arinzu,father,baba,father / dad,family,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00039,C0019,S00039,V0013,buda,father/older man,baba/mzee,father / older man,family,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00040,C0020,S00040,V0013,buda,bro/dude,rafiki/jamaa,bro / dude,people,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00041,C0021,S00041,V0014,msee,person/guy,mtu/jamaa,person / guy,people,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00042,C0022,S00042,V0014,msee,older man,mzee,older man,people,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00043,C0023,S00043,V0015,morio,guy/friend,jamaa/rafiki,guy / friend,people,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00044,C0024,S00044,V0016,dem,girl,msichana,girl,people,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00045,C0025,S00045,V0017,manzi,girl/young woman,msichana,girl / young woman,people,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00046,C0026,S00046,V0017,manzi,girlfriend,mpenzi,girlfriend,relationships,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00047,C0027,S00047,V0016,msupa,girl/attractive woman,msichana/mwanamke,girl / attractive woman,people,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00048,C0028,S00048,V0016,mshi,young woman,msichana,young woman / lady,people,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00049,C0029,S00049,V0018,chali,boyfriend/guy,mpenzi/jamaa,boyfriend / guy,relationships,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00050,C0030,S00050,V0015,jamaa,guy/man,jamaa,guy / man,people,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00051,C0031,S00051,V0019,beshte,close friend,rafiki wa karibu,close friend / bestie,social,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00052,C0031,S00052,V0019,beste,close friend,rafiki wa karibu,close friend / bestie,social,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00053,C0032,S00053,V0020,mbogi,crew/group,kundi,crew / group,social,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00054,C0033,S00054,V0021,wasee,people/guys,watu,people / guys,people,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00055,C0034,S00055,V0022,siz,sister,dada,sister,family,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00056,C0034,S00056,V0022,sistee,sister,dada,sister,family,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00057,C0035,S00057,V0023,bro,brother/bro,kaka,brother / bro,family,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00058,C0036,S00058,V0024,kazee,cousin,binamu,cousin,family,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00059,C0036,S00059,V0024,kazoo,cousin,binamu,cousin,family,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00060,C0037,S00060,V0025,doh,money,pesa,money / cash,money,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00061,C0037,S00061,V0025,dooh,money,pesa,money / cash,money,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00062,C0037,S00062,V0025,chapaa,money,pesa,money / cash,money,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00063,C0037,S00063,V0025,mkwanja,money,pesa,money / cash,money,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00064,C0037,S00064,V0025,ganji,money,pesa,money / cash,money,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00065,C0037,S00065,V0026,do,money,pesa,money / cash,money,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00066,C0038,S00066,V0026,do,no,hapana,no,conversation,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00067,C0039,S00067,V0027,mbao,twenty shillings,shilingi ishirini,20 Kenyan shillings,money,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00068,C0040,S00068,V0027,mbao,wood/plank,mbao,wood / plank,objects,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00069,C0039,S00069,V0028,bluu,twenty shillings,shilingi ishirini,20 Kenyan shillings,money,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00070,C0039,S00070,V0028,paoo,twenty shillings,shilingi ishirini,20 Kenyan shillings,money,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00071,C0039,S00071,V0028,hluu,twenty shillings,shilingi ishirini,20 Kenyan shillings,money,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00072,C0041,S00072,V0029,kobole,five shillings,shilingi tano,5 Kenyan shillings,money,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00073,C0041,S00073,V0029,ngovo,five shillings,shilingi tano,5 Kenyan shillings,money,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00074,C0042,S00074,V0030,soo,one hundred shillings,shilingi mia moja,100 Kenyan shillings,money,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00075,C0042,S00075,V0030,nyanga,one hundred shillings,shilingi mia moja,100 Kenyan shillings,money,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00076,C0043,S00076,V0031,thao,one thousand shillings,shilingi elfu moja,"1,000 Kenyan shillings",money,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00077,C0043,S00077,V0031,brown,one thousand shillings,shilingi elfu moja,"1,000 Kenyan shillings",money,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00078,C0043,S00078,V0031,ivory,one thousand shillings,shilingi elfu moja,"1,000 Kenyan shillings",money,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00079,C0043,S00079,V0031,tenga,one thousand shillings,shilingi elfu moja,"1,000 Kenyan shillings",money,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00080,C0044,S00080,V0032,iluka,ten shillings,shilingi kumi,10 Kenyan shillings,money,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00081,C0044,S00081,V0032,das,ten shillings,shilingi kumi,10 Kenyan shillings,money,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00082,C0045,S00082,V0033,mathree,matatu,matatu,matatu / public minibus,transport,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00083,C0045,S00083,V0033,mat,matatu,matatu,matatu / public minibus,transport,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00084,C0045,S00084,V0033,jive,matatu,matatu,matatu / public minibus,transport,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00085,C0045,S00085,V0033,jav,matatu,matatu,matatu / public minibus,transport,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00086,C0045,S00086,V0033,buu,matatu,matatu,matatu / public minibus,transport,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00087,C0045,S00087,V0033,nganya,matatu,matatu,matatu / public minibus,transport,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00088,C0046,S00088,V0034,makanga,matatu conductor,kondakta,matatu conductor,transport,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00089,C0046,S00089,V0034,konkodi,matatu conductor,kondakta,matatu conductor,transport,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00090,C0046,S00090,V0034,manumber,matatu conductor,kondakta,matatu conductor,transport,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00091,C0046,S00091,V0034,donda,matatu conductor,kondakta,matatu conductor,transport,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00092,C0047,S00092,V0035,dere,driver,dereva,driver,transport,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00093,C0047,S00093,V0035,deree,driver,dereva,driver,transport,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00094,C0047,S00094,V0035,kigonyi,driver,dereva,driver,transport,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00095,C0047,S00095,V0035,vandere,driver,dereva,driver,transport,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00096,C0048,S00096,V0036,ndai,car,gari,car,transport,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00097,C0049,S00097,V0036,moti,car/vehicle,gari,car / vehicle,transport,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00098,C0050,S00098,V0037,karao,police,polisi,police / police officer,authority,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00099,C0050,S00099,V0037,gova,police,polisi,police / police officer,authority,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00100,C0050,S00100,V0037,sanse,police,polisi,police / police officer,authority,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00101,C0050,S00101,V0037,beast,police,polisi,police / police officer,authority,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00102,C0051,S00102,V0038,afande,officer,afisa,officer,authority,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00103,C0052,S00103,V0039,job,work/job,kazi,work / job,work,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00104,C0053,S00104,V0039,hustle,work/income activity,kazi/biashara,work / hustle,work,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00105,C0054,S00105,V0039,mjengo,construction work/site,ujenzi,construction work / site,work,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00106,C0055,S00106,V0040,campo,campus/university,chuo kikuu,campus / university,education,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00107,C0056,S00107,V0040,uni,university,chuo kikuu,university,education,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00108,C0057,S00108,V0041,primo,primary school,shule ya msingi,primary school,education,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00109,C0058,S00109,V0041,seco,secondary school,shule ya upili,secondary school,education,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00110,C0059,S00110,V0042,msosi,food/meal,chakula,food / meal,food,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00111,C0060,S00111,V0042,chapo,chapati,chapati,chapati,food,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00112,C0061,S00112,V0043,mboch,house help,mfanyakazi wa nyumbani,house help / domestic worker,people,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00113,C0061,S00113,V0043,chinebo,house help,mfanyakazi wa nyumbani,house help / domestic worker,people,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00114,C0062,S00114,V0044,ngoma,music/song,muziki/wimbo,music / song,entertainment,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00115,C0063,S00115,V0044,ngoma,drum,ngoma,drum,objects,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00116,C0064,S00116,V0045,mahewa,music,muziki,music,entertainment,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00117,C0065,S00117,V0046,bash,party,sherehe,party,entertainment,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00118,C0066,S00118,V0046,dunda,party/dance,cheza/sherehe,party / dance,entertainment,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00119,C0067,S00119,V0047,sota,be broke,kukosa pesa,be broke / run out of money,money,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00120,C0067,S00120,V0047,kauka,be broke,kukosa pesa,be broke / run out of money,money,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00121,C0067,S00121,V0047,chupri,be broke,kukosa pesa,be broke,money,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00122,C0068,S00122,V0048,msoto,poor/broke person,maskini,poor / broke person,money,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00123,C0069,S00123,V0049,mdosi,boss/rich person,bosi/tajiri,boss / rich person,people,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00124,C0070,S00124,V0049,sonko,rich person/boss,tajiri/bosi,rich person / boss,people,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00125,C0071,S00125,V0050,sos,rich person,tajiri,rich person,people,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00126,C0072,S00126,V0051,bazu,boss/important person,bosi/mtu muhimu,boss / important person,people,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00127,C0073,S00127,V0052,ishia,go/leave,enda,go / leave,actions,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00128,C0074,S00128,V0053,kam,come,kuja,come,actions,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00129,C0075,S00129,V0054,buy,buy,nunua,buy,actions,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00130,C0076,S00130,V0055,chill,relax/stay,pumzika/kaa,relax / stay,actions,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00131,C0077,S00131,V0056,hepa,run away/leave quickly,toroka/ondoka,run away / leave quickly,actions,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00132,C0078,S00132,V0057,bamba,enjoy/impress,furahisha,enjoy / impress,actions,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00133,C0079,S00133,V0058,bamba rada,enjoy the vibe,furahia hali,enjoy the vibe,entertainment,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00134,C0080,S00134,V0059,mbota,watch,saa,watch,objects,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
L00135,C0080,S00135,V0059,wochi,watch,saa,watch,objects,Kenya,informal/sheng,Project curated candidate,curated_candidate,candidate_lexical_fact_original_examples,conditional,conditional,needs_native_review,0.60,
